ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_kg,Arrived_on_Time,Weight_Category
117,A,Road,4,1,150,4,high,M,60,1,1,Light
118,B,Road,4,3,265,2,medium,F,31,2.3,1,Medium
119,C,Road,2,5,263,3,low,F,5,2.9,1,Medium
120,F,Road,5,1,145,3,low,M,20,1.4,1,Light
121,D,Road,4,2,183,3,low,F,33,2.7,1,Medium
122,F,Road,3,3,205,3,medium,F,19,2.2,1,Medium
123,A,Road,4,2,160,3,low,M,64,1.7,1,Light
124,B,Road,3,3,252,2,medium,F,48,2.1,1,Medium
125,C,Road,5,5,222,3,low,M,10,2.3,1,Medium
126,F,Road,3,3,203,2,low,M,25,3.6,1,Medium
127,D,Road,4,5,220,3,medium,M,40,3.5,1,Medium
128,F,Road,3,3,147,4,low,F,60,1.7,1,Light
129,A,Road,4,4,200,4,medium,M,16,2.1,1,Medium
130,B,Road,4,5,224,4,medium,M,21,2,1,Medium
131,C,Road,3,5,179,2,low,F,17,1.4,1,Light
132,F,Road,3,4,144,3,low,M,50,1.9,1,Light
133,D,Flight,5,2,247,3,low,M,17,3.9,1,Medium
134,F,Flight,5,4,280,6,medium,F,51,3.6,1,Medium
135,A,Flight,3,3,168,2,medium,F,1,1.8,1,Light
136,B,Flight,3,5,157,3,medium,F,4,1.9,1,Light
137,C,Flight,3,3,189,4,medium,F,51,2.2,1,Medium
138,F,Flight,3,5,162,2,medium,M,7,1.7,1,Light
139,D,Flight,4,1,207,5,low,M,48,2.4,1,Medium
140,F,Flight,5,1,237,2,low,F,10,3.9,1,Medium
141,A,Flight,4,4,264,3,high,M,59,2,1,Medium
142,B,Flight,5,4,149,3,low,M,51,1.6,1,Light
143,C,Flight,5,5,162,3,low,M,41,1.5,1,Light
144,F,Flight,2,1,205,4,medium,F,63,2.2,1,Medium
145,D,Flight,2,1,158,3,medium,F,51,1.5,1,Light
146,F,Flight,2,2,248,2,low,M,46,3.7,1,Medium
147,A,Flight,3,5,191,3,low,M,23,3.8,1,Medium
148,B,Flight,4,3,146,4,medium,F,24,1.8,1,Light
149,C,Flight,3,3,135,3,low,M,56,1.5,1,Light
150,F,Flight,5,1,149,3,low,M,40,1.1,1,Light
151,D,Flight,4,4,220,2,medium,F,7,2.6,1,Medium
152,F,Flight,5,3,98,5,medium,M,44,1.3,1,Light
153,A,Flight,3,4,97,4,low,M,32,1.2,1,Light
154,B,Flight,3,3,183,2,low,M,53,3.9,1,Medium
155,C,Ship,3,3,162,3,medium,F,8,1.9,1,Light
156,F,Ship,5,1,114,4,low,F,47,1.4,1,Light
157,D,Ship,6,3,275,5,low,M,41,2.5,1,Medium
158,F,Ship,3,2,203,2,medium,F,39,3.8,1,Medium
159,A,Ship,5,5,205,2,high,M,65,3.7,1,Medium
160,B,Ship,3,3,149,3,low,F,63,1.9,1,Light
161,C,Ship,2,2,112,4,medium,M,56,1.1,1,Light
162,F,Ship,3,1,207,3,medium,F,56,3.5,1,Medium
163,D,Ship,4,1,261,4,low,F,58,3.4,1,Medium
164,F,Ship,5,2,274,3,medium,M,6,3.4,1,Medium
165,A,Ship,3,5,141,2,low,M,52,1.7,1,Light
166,B,Ship,3,3,166,4,medium,F,17,1.5,1,Light
167,C,Ship,5,2,141,3,high,F,34,1,1,Light
168,F,Ship,4,5,152,3,low,M,43,1.7,1,Light
169,D,Ship,4,2,250,3,low,F,53,2.5,1,Medium
170,F,Ship,4,3,161,3,medium,F,28,1.8,1,Light
171,A,Ship,4,3,185,3,medium,F,10,2.3,1,Medium
172,B,Ship,4,4,176,4,high,F,52,1.1,1,Light
173,C,Ship,3,4,148,3,low,M,56,1.6,1,Light
174,F,Ship,3,2,270,3,low,F,63,2.8,1,Medium
175,D,Ship,3,3,242,3,low,F,51,3.9,1,Medium
176,F,Ship,4,4,150,2,medium,M,3,1.3,1,Light
177,A,Ship,4,5,192,3,high,M,20,3.9,1,Medium
178,B,Ship,4,5,116,3,medium,M,54,1.3,1,Light
179,C,Ship,3,3,192,3,medium,F,2,4,1,Heavy
180,F,Ship,5,5,255,4,medium,M,3,3.4,1,Medium
181,D,Ship,4,1,161,7,medium,F,18,1.3,1,Light
182,F,Ship,4,5,157,3,low,M,20,1.5,1,Light
183,A,Ship,3,2,164,10,high,F,28,1.9,1,Light
184,B,Ship,3,5,162,7,medium,F,16,1.1,1,Light
185,C,Ship,3,3,146,2,low,M,50,1.5,1,Light
186,F,Ship,3,2,209,3,medium,M,54,3,1,Medium
187,D,Ship,5,4,134,2,medium,F,55,1.4,1,Light
188,F,Ship,2,1,222,2,medium,M,5,3.8,1,Medium
189,A,Ship,2,5,139,3,low,F,27,1.2,1,Light
190,B,Ship,2,4,134,3,low,F,42,1.4,1,Light
191,C,Ship,2,5,130,3,low,M,16,1.1,1,Light
192,F,Ship,2,5,133,3,low,F,62,1.6,1,Light
193,D,Ship,2,4,140,3,low,F,7,1.4,1,Light
194,F,Ship,2,2,158,3,low,M,28,2,1,Medium
195,A,Ship,4,2,270,4,low,F,46,1.7,1,Light
196,B,Ship,2,5,140,3,low,F,30,1,1,Light
197,C,Ship,2,2,135,3,low,M,15,1.3,1,Light
198,F,Ship,2,3,136,3,low,F,19,1.6,1,Light
199,D,Ship,2,3,142,3,medium,F,38,7.6,1,Very Heavy
200,F,Ship,2,2,154,3,medium,M,38,7.8,1,Very Heavy
201,A,Ship,2,3,139,3,low,M,9,1.5,1,Light
202,B,Ship,2,3,160,3,low,F,43,1.3,1,Light
203,C,Ship,2,4,134,3,low,M,58,1.1,1,Light
204,F,Ship,5,3,161,5,high,M,48,1.9,1,Light
205,D,Ship,2,5,155,3,low,M,23,1.6,1,Light
206,F,Ship,2,3,145,3,medium,F,24,7.6,1,Very Heavy
207,A,Ship,2,2,157,3,low,M,1,1.5,1,Light
208,B,Ship,2,2,160,3,low,M,48,1.7,1,Light
209,C,Ship,2,4,152,3,low,M,55,1.5,1,Light
210,F,Ship,2,5,148,3,high,F,11,1.5,1,Light
211,D,Ship,2,1,127,3,low,F,15,1.5,1,Light
212,F,Ship,2,5,154,3,low,F,21,1.1,1,Light
213,A,Ship,2,5,127,3,low,M,44,1.3,1,Light
214,B,Ship,2,5,160,3,medium,F,31,7.4,1,Very Heavy
215,C,Ship,2,4,129,3,low,F,48,1.2,1,Light
216,F,Ship,2,5,158,3,low,F,40,1.7,1,Light
217,D,Ship,4,3,185,3,medium,M,3,3.1,1,Medium
218,F,Ship,4,4,176,4,high,F,63,1.3,1,Light
219,A,Ship,3,4,148,3,low,M,37,1.5,1,Light
220,B,Ship,3,5,270,3,low,M,60,3.9,1,Medium
221,C,Ship,3,4,242,3,low,M,29,2.4,1,Medium
222,F,Ship,4,3,150,2,medium,M,31,1.6,1,Light
223,D,Ship,4,2,192,3,high,M,4,2.1,1,Medium
224,F,Ship,4,5,116,3,medium,F,9,1.3,1,Light
225,A,Ship,3,4,192,3,medium,F,31,3.3,1,Medium
226,B,Ship,5,4,255,4,medium,F,38,2.8,1,Medium
227,C,Ship,4,3,161,7,medium,M,63,1.5,1,Light
228,F,Ship,4,2,157,3,low,F,48,1.4,1,Light
229,D,Ship,3,2,164,10,high,M,14,1.4,1,Light
230,F,Ship,3,3,162,7,medium,F,42,1.3,1,Light
231,A,Ship,3,1,146,2,low,F,54,1.5,1,Light
232,B,Ship,3,4,209,3,medium,F,60,2.2,1,Medium
233,C,Ship,5,5,134,2,medium,M,53,1.1,1,Light
234,F,Ship,2,1,222,2,medium,M,58,3.6,1,Medium
235,D,Ship,2,1,139,3,low,F,39,1.6,1,Light
236,F,Ship,2,2,134,3,low,M,38,1.4,1,Light
237,A,Ship,2,3,130,3,low,F,48,1.8,1,Light
238,B,Ship,2,2,133,3,low,M,5,1.3,1,Light
239,C,Ship,2,3,140,3,low,F,23,1.4,1,Light
240,F,Ship,2,3,158,3,low,M,10,1.5,1,Light
241,D,Ship,4,5,270,4,low,M,65,1.8,1,Light
242,F,Ship,2,4,140,3,low,F,33,1.3,1,Light
243,A,Ship,2,2,135,3,low,M,58,1.7,1,Light
244,B,Ship,2,4,136,3,low,M,43,2,1,Medium
245,C,Ship,2,1,142,3,medium,F,8,6.1,1,Very Heavy
246,F,Ship,2,4,154,3,medium,F,48,7.7,1,Very Heavy
247,D,Ship,2,3,139,3,low,F,3,1.8,1,Light
248,F,Road,2,4,160,3,low,F,50,1,1,Light
249,A,Road,2,2,134,3,low,F,38,1.5,1,Light
250,B,Road,5,5,161,5,high,F,54,1.5,1,Light
251,C,Road,2,3,155,3,low,F,45,1.6,1,Light
252,F,Road,2,2,145,3,medium,F,5,6.1,1,Very Heavy
253,D,Road,2,1,157,3,low,M,58,1.9,1,Light
254,F,Road,2,5,160,3,low,F,19,1.4,1,Light
255,A,Road,2,2,152,3,low,F,61,1.8,1,Light
256,B,Road,2,2,148,3,high,F,35,1.3,1,Light
257,C,Road,2,2,127,3,low,M,13,1.1,1,Light
258,F,Road,2,2,129,3,medium,F,22,6.6,1,Very Heavy
259,D,Road,2,3,158,3,low,F,13,1.2,1,Light
260,F,Road,2,4,147,3,low,M,5,1.9,1,Light
261,A,Road,2,5,159,3,low,F,49,1.6,1,Light
262,B,Road,2,3,151,3,low,F,23,1.9,1,Light
263,C,Road,3,1,294,4,low,F,52,1.1,1,Light
264,F,Road,3,2,226,2,medium,M,45,1.4,1,Light
265,D,Road,5,3,271,5,high,M,9,1.8,1,Light
266,F,Road,7,2,203,5,medium,F,61,1.9,1,Light
267,A,Road,2,3,264,4,low,F,10,1.6,1,Light
268,B,Road,4,1,258,3,medium,M,36,2.2,1,Medium
269,C,Road,3,5,241,3,low,F,21,3.1,1,Medium
270,F,Flight,4,5,208,3,medium,M,23,2.1,1,Medium
271,D,Flight,3,2,209,5,medium,F,12,3.1,1,Medium
272,F,Flight,5,1,182,2,medium,F,23,2.7,1,Medium
273,A,Flight,4,5,148,2,medium,F,43,1.1,1,Light
274,B,Flight,2,3,183,2,medium,F,52,3.2,1,Medium
275,C,Flight,3,5,229,6,medium,M,22,2.7,1,Medium
276,F,Flight,5,5,115,5,low,F,26,1.7,1,Light
277,D,Flight,4,2,136,3,low,F,65,2,1,Medium
278,F,Flight,4,4,212,3,low,M,21,3.3,1,Medium
279,A,Flight,4,3,171,3,low,F,24,1.3,1,Light
280,B,Flight,3,1,151,2,low,M,60,1.9,1,Light
281,C,Flight,3,1,205,3,medium,M,39,3.1,1,Medium
282,F,Flight,5,4,147,3,medium,M,23,1.1,1,Light
283,D,Flight,3,3,155,3,low,F,29,1.7,1,Light
284,F,Flight,5,4,165,3,low,F,20,1.2,1,Light
285,A,Flight,5,5,230,3,low,F,32,3.2,1,Medium
286,B,Flight,2,4,181,4,medium,M,13,2.3,1,Medium
287,C,Flight,5,3,234,2,low,F,55,3.3,1,Medium
288,F,Flight,4,4,149,3,low,M,34,2,1,Medium
289,D,Flight,5,5,156,2,low,M,44,1.6,1,Light
290,F,Flight,4,2,172,3,medium,F,59,1.9,1,Light
291,A,Flight,4,4,270,3,low,M,12,3.3,1,Medium
292,B,Ship,4,1,206,3,medium,M,23,3.8,1,Medium
293,C,Ship,4,3,211,4,medium,M,40,3.1,1,Medium
294,F,Ship,3,2,136,4,low,M,62,1.1,1,Light
295,D,Ship,5,1,186,2,high,F,52,4,1,Heavy
296,F,Ship,3,1,202,2,medium,M,62,3.4,1,Medium
297,A,Ship,4,2,183,3,medium,F,12,3.6,1,Medium
298,B,Ship,4,4,232,2,low,M,36,2.9,1,Medium
299,C,Ship,4,2,147,4,medium,M,52,1.1,1,Light
300,F,Ship,4,3,136,3,medium,M,20,1.5,1,Light
301,D,Ship,5,3,127,3,low,F,43,1.4,1,Light
302,F,Ship,4,5,202,2,medium,M,35,3.7,1,Medium
303,A,Ship,3,4,241,2,low,M,57,3.7,1,Medium
304,B,Ship,4,3,222,2,medium,M,55,3.8,1,Medium
305,C,Ship,3,2,183,4,medium,F,12,2.8,1,Medium
306,F,Ship,4,4,249,3,medium,F,36,3.8,1,Medium
307,D,Ship,3,1,243,4,high,M,59,3.8,1,Medium
308,F,Ship,3,3,163,3,medium,M,9,1.3,1,Light
309,A,Ship,4,2,165,2,high,M,11,1.6,1,Light
310,B,Ship,5,5,266,3,medium,F,53,3.1,1,Medium
311,C,Ship,3,4,193,2,medium,M,48,3.9,1,Medium
312,F,Ship,3,2,154,3,low,F,56,1.1,1,Light
313,D,Ship,3,3,140,3,medium,M,51,1,1,Light
314,F,Ship,4,3,272,3,medium,M,38,3.7,1,Medium
315,A,Ship,4,2,143,6,medium,M,20,1.7,1,Light
316,B,Ship,4,2,138,3,low,F,30,1.8,1,Light
317,C,Ship,4,2,238,2,high,M,17,3.4,1,Medium
318,F,Ship,4,5,273,4,medium,F,31,2.4,1,Medium
319,D,Ship,3,1,200,2,medium,M,27,2.6,1,Medium
320,F,Ship,4,5,213,4,low,M,39,2.4,1,Medium
321,A,Ship,3,4,224,2,medium,F,15,2.7,1,Medium
322,B,Ship,4,5,141,3,medium,M,12,1.7,1,Light
323,C,Ship,3,3,150,3,low,M,46,1,1,Light
324,F,Ship,3,1,192,2,low,M,33,2.8,1,Medium
325,D,Ship,5,1,279,4,medium,F,24,3.4,1,Medium
326,F,Ship,3,4,246,3,medium,M,30,3.7,1,Medium
327,A,Ship,3,4,173,3,medium,M,52,1.6,1,Light
328,B,Ship,4,4,233,4,medium,F,59,2.4,1,Medium
329,C,Ship,5,1,274,2,medium,M,24,2.4,1,Medium
330,F,Ship,4,5,243,4,medium,F,41,2.8,1,Medium
331,D,Ship,3,4,197,3,medium,F,56,3.4,1,Medium
332,F,Ship,4,3,140,3,high,F,46,1.1,1,Light
333,A,Ship,3,5,215,3,medium,F,22,2.6,1,Medium
334,B,Ship,3,4,211,3,medium,M,8,3.7,1,Medium
335,C,Ship,4,2,220,5,low,M,33,2.9,1,Medium
336,F,Ship,3,1,194,4,low,M,64,2,1,Medium
337,D,Ship,5,1,262,3,medium,F,58,3.6,1,Medium
338,F,Ship,4,4,201,2,low,F,1,3.1,1,Medium
339,A,Ship,3,5,261,3,medium,M,15,3,1,Medium
340,B,Ship,4,4,191,6,low,F,60,3.4,1,Medium
341,C,Ship,2,5,255,5,medium,F,53,3.8,1,Medium
342,F,Ship,3,2,169,2,high,M,30,1.7,1,Light
343,D,Ship,4,5,162,2,medium,M,64,1.9,1,Light
344,F,Ship,2,5,248,6,low,F,62,2.8,1,Medium
345,A,Ship,5,3,197,4,low,F,2,2.2,1,Medium
346,B,Ship,5,1,264,3,low,M,6,2.9,1,Medium
347,C,Ship,5,5,260,2,medium,F,55,2.8,1,Medium
348,F,Ship,5,3,186,2,medium,F,58,2.3,1,Medium
349,D,Ship,4,5,233,4,low,F,44,2.6,1,Medium
350,F,Ship,5,1,161,3,low,M,47,2,1,Medium
351,A,Ship,4,5,188,3,low,F,13,2.4,1,Medium
352,B,Ship,5,5,171,2,medium,F,22,1.7,1,Light
353,C,Ship,2,2,267,3,medium,M,15,2.5,1,Medium
354,F,Ship,4,3,255,2,high,M,47,3,1,Medium
355,D,Ship,3,2,132,3,low,F,56,1.3,1,Light
356,F,Ship,5,1,266,3,low,F,31,3.2,1,Medium
357,A,Ship,3,4,198,2,low,M,25,2.8,1,Medium
358,B,Ship,2,3,247,2,medium,F,62,3.1,1,Medium
359,C,Ship,3,1,140,3,medium,F,65,1.3,1,Light
360,F,Ship,4,3,131,5,low,M,6,1.7,1,Light
361,D,Ship,5,2,246,3,medium,M,49,3.2,1,Medium
362,F,Ship,3,2,159,3,medium,F,4,1.7,1,Light
363,A,Ship,3,5,203,2,medium,M,61,3.6,1,Medium
364,B,Ship,4,3,187,4,high,F,29,3.1,1,Medium
365,C,Ship,6,2,146,3,low,F,62,1.9,1,Light
366,F,Ship,3,2,234,3,medium,M,39,2.1,1,Medium
367,D,Ship,3,4,122,3,high,F,15,1.4,1,Light
368,F,Ship,3,3,135,3,low,M,8,1.1,1,Light
369,A,Ship,3,5,103,3,low,M,3,1.4,1,Light
370,B,Ship,3,5,257,3,medium,F,19,2.2,1,Medium
371,C,Ship,4,3,169,2,low,M,2,1.4,1,Light
372,F,Ship,4,5,159,3,medium,M,18,1.8,1,Light
373,D,Ship,4,5,188,3,low,M,38,3,1,Medium
374,F,Ship,5,1,136,3,medium,M,19,1.4,1,Light
375,A,Ship,5,1,227,3,low,F,19,3,1,Medium
376,B,Ship,3,5,262,2,low,F,53,3.3,1,Medium
377,C,Ship,2,3,157,2,low,M,45,2,1,Medium
378,F,Ship,5,3,238,2,medium,F,21,2.1,1,Medium
379,D,Ship,3,5,152,3,low,M,43,1.3,1,Light
380,F,Ship,3,2,201,3,medium,M,5,2,1,Medium
381,A,Ship,3,4,148,2,low,M,54,1.8,1,Light
382,B,Ship,5,2,199,4,low,F,59,2.9,1,Medium
383,C,Ship,5,4,215,2,low,F,45,3.5,1,Medium
384,F,Ship,4,5,175,2,low,M,40,1.3,1,Light
385,D,Road,4,3,236,2,high,M,23,3.1,1,Medium
386,F,Road,2,5,182,2,medium,F,57,2.9,1,Medium
387,A,Road,3,1,251,3,medium,M,42,3.7,1,Medium
388,B,Road,5,2,173,3,low,F,7,1.9,1,Light
389,C,Road,4,3,225,3,low,F,62,2.6,1,Medium
390,F,Road,4,2,167,4,low,F,20,1.7,1,Light
391,D,Road,4,1,259,3,low,M,20,2.2,1,Medium
392,F,Road,4,1,178,3,medium,F,63,1.6,1,Light
393,A,Road,4,4,178,4,medium,F,13,1.6,1,Light
394,B,Road,5,4,169,2,low,F,20,1.8,1,Light
395,C,Road,3,2,272,2,low,M,33,2.3,1,Medium
396,F,Road,4,4,183,3,low,M,29,3.3,1,Medium
397,D,Road,3,4,205,3,low,F,10,2.7,1,Medium
398,F,Road,2,1,123,4,low,F,53,1,1,Light
399,A,Road,4,3,152,3,low,M,58,1.5,1,Light
400,B,Road,3,1,220,2,high,F,40,3.8,1,Medium
401,C,Road,4,3,134,3,low,M,51,2,1,Medium
402,F,Road,3,2,217,2,high,M,19,3,1,Medium
403,D,Road,3,2,265,3,low,F,49,2.8,1,Medium
404,F,Road,4,2,249,5,medium,M,36,3.8,1,Medium
405,A,Road,5,3,213,4,medium,F,50,2,1,Medium
406,B,Road,2,2,124,3,low,F,56,1.5,1,Light
407,C,Flight,4,1,180,2,low,M,23,1.2,1,Light
408,F,Flight,4,5,193,3,medium,M,65,2.3,1,Medium
409,D,Flight,3,2,192,3,medium,M,43,3.3,1,Medium
410,F,Flight,2,5,166,3,medium,M,3,1.8,1,Light
411,A,Flight,3,2,264,3,medium,M,5,3.9,1,Medium
412,B,Flight,3,4,200,2,medium,M,14,3.5,1,Medium
413,C,Flight,4,3,142,4,medium,M,12,1.4,1,Light
414,F,Flight,4,1,215,2,low,M,32,3.1,1,Medium
415,D,Flight,2,1,218,2,low,M,15,2.7,1,Medium
416,F,Flight,3,2,115,3,low,F,27,1.8,1,Light
417,A,Flight,4,3,159,3,low,M,33,1.3,1,Light
418,B,Flight,5,5,133,3,low,M,63,1.2,1,Light
419,C,Flight,5,2,178,3,low,M,48,1.5,1,Light
420,F,Flight,4,2,134,2,low,F,43,1.7,1,Light
421,D,Flight,3,1,184,5,medium,F,58,2.5,1,Medium
422,F,Flight,4,2,251,2,medium,M,24,2.4,1,Medium
423,A,Flight,3,2,141,3,low,M,7,1.9,1,Light
424,B,Flight,4,4,229,2,medium,M,45,3.8,1,Medium
425,C,Flight,4,1,203,4,low,M,34,3.8,1,Medium
426,F,Flight,4,3,158,3,medium,F,57,1.9,1,Light
427,D,Flight,3,4,167,3,medium,M,52,1.8,1,Light
428,F,Flight,5,4,197,4,low,F,40,3.3,1,Medium
429,A,Ship,2,2,140,3,low,F,19,1.8,1,Light
430,B,Ship,5,1,205,2,medium,M,27,3.6,1,Medium
431,C,Ship,5,5,208,3,low,F,45,2,1,Medium
432,F,Ship,4,2,96,3,low,M,22,1.3,1,Light
433,D,Ship,6,4,205,3,low,F,44,2.1,1,Medium
434,F,Ship,4,2,215,3,medium,F,48,3,1,Medium
435,A,Ship,4,1,216,3,low,F,43,2.6,1,Medium
